source_dataset,local_student_id,year_level,academic_avg_20,semester1_avg_20,semester2_avg_20,course_grade_mean_20,course_grade_std_20,course_grade_min_20,course_grade_max_20,course_count,failed_course_count_est,failed_course_rate,strong_course_rate,low_performance_rate,performance_consistency_index,academic_risk_score,missing_raw_values_count,missing_core_features_before_imputation,was_imputed,at_risk_label,cluster,pca1,pca2
annual_deliberation_y1,ADY1_0033,Y1,7.165,9.516,5.336,8.345,4.326,3.6,16.25,12,8,0.667,0.167,0.5,0.567,0.616,0,0,False,1,1,4.472249090085827,-1.023129300664931
annual_deliberation_y1,ADY1_0034,Y1,10.777,12.568,9.384,11.428,2.775,6.9,15.7,12,4,0.333,0.25,0.083,0.722,0.363,0,0,False,0,1,1.3880222206147474,-0.12966014426791247
annual_deliberation_y1,ADY1_0035,Y1,15.106,15.594,14.727,15.155,1.225,12.75,17.0,12,0,0.0,0.833,0.0,0.877,0.141,0,0,False,0,0,-1.7186429930945495,0.5941266080629755
annual_deliberation_y1,ADY1_0036,Y1,14.161,14.19,14.138,14.478,1.512,11.6,16.55,12,0,0.0,0.75,0.0,0.849,0.168,0,0,False,0,0,-1.3590015291174404,0.48906105540299044
annual_deliberation_y1,ADY1_0037,Y1,9.673,12.314,7.618,10.638,3.69,3.7,16.2,12,4,0.333,0.167,0.333,0.631,0.436,0,0,False,0,1,2.4908543059412565,-0.6689603252872754
annual_deliberation_y1,ADY1_0038,Y1,12.33,11.987,12.597,12.458,1.809,9.86,15.9,12,1,0.083,0.167,0.0,0.819,0.241,0,0,False,0,0,0.16273225968227026,0.5288573476984592
annual_deliberation_y1,ADY1_0039,Y1,11.181,10.82,11.462,11.878,2.322,8.75,17.5,12,3,0.25,0.083,0.0,0.768,0.317,0,0,False,0,1,1.0546583994596666,0.22739781227094302
annual_deliberation_y1,ADY1_0040,Y1,13.392,14.179,12.78,13.953,2.273,10.0,17.65,12,0,0.0,0.583,0.0,0.773,0.193,0,0,False,0,0,-0.871785224332389,0.04807882489742303
annual_deliberation_y1,ADY1_0041,Y1,9.763,11.379,8.506,10.742,2.798,7.05,15.05,12,5,0.417,0.25,0.167,0.72,0.425,0,0,False,0,1,2.0707069615341265,-0.08785889527068846
annual_deliberation_y1,ADY1_0042,Y1,14.875,13.859,15.666,14.956,1.788,11.8,17.95,12,0,0.0,0.667,0.0,0.821,0.15,0,0,False,0,0,-1.373862862037685,0.25213632653477985
annual_deliberation_y1,ADY1_0043,Y1,11.815,13.764,10.299,12.084,2.639,8.3,16.83,12,4,0.333,0.333,0.0,0.736,0.322,0,0,False,0,1,0.8063912169783349,-0.13151643867194873
annual_deliberation_y1,ADY1_0044,Y1,7.988,11.439,5.304,9.138,4.131,3.5,15.75,12,6,0.5,0.167,0.417,0.587,0.538,0,0,False,1,1,3.590068495161587,-0.8971387868919349
annual_deliberation_y1,ADY1_0045,Y1,12.991,14.098,12.131,13.308,1.688,9.53,15.0,12,1,0.083,0.5,0.0,0.831,0.222,0,0,False,0,0,-0.48327692788459237,0.4861926680865523
annual_deliberation_y1,ADY1_0046,Y1,15.288,16.451,14.384,15.391,1.802,12.48,19.32,12,0,0.0,0.75,0.0,0.82,0.139,0,0,False,0,0,-1.5864678077317438,0.19349019106337026
annual_deliberation_y1,ADY1_0047,Y1,14.151,13.966,14.296,14.268,2.319,10.69,19.8,12,0,0.0,0.667,0.0,0.768,0.172,0,0,False,0,0,-1.1626747399849564,-0.06693039288363456
annual_deliberation_y1,ADY1_0048,Y1,11.682,12.356,11.158,12.21,2.207,7.9,14.96,12,2,0.167,0.25,0.083,0.779,0.294,0,0,False,0,0,0.6719018644395175,0.2526213069619679
annual_deliberation_y1,ADY1_0049,Y1,16.222,15.561,16.736,16.068,1.643,13.15,20.0,12,0,0.0,0.917,0.0,0.836,0.112,0,0,False,0,0,-2.057453155469968,0.1949526909465694
annual_deliberation_y1,ADY1_0050,Y1,16.586,16.539,16.622,16.372,1.277,14.15,19.05,12,0,0.0,1.0,0.0,0.872,0.1,0,0,False,0,0,-2.294330434992933,0.4029354064403789
annual_deliberation_y1,ADY1_0051,Y1,11.781,13.203,10.676,12.502,2.938,7.6,16.8,12,3,0.25,0.417,0.083,0.706,0.316,0,0,False,0,1,0.7040260385644945,-0.3361764098300211
annual_deliberation_y1,ADY1_0052,Y1,13.898,15.496,12.654,14.284,2.766,9.09,17.9,12,1,0.083,0.583,0.0,0.723,0.202,0,0,False,0,0,-0.7120727442725108,-0.3721440816172094
annual_deliberation_y1,ADY1_0053,Y1,12.751,14.774,11.177,13.256,2.451,9.18,18.13,12,1,0.083,0.333,0.0,0.755,0.232,0,0,False,0,0,-0.11738788698814893,0.00298995877708341
annual_deliberation_y1,ADY1_0054,Y1,13.575,14.576,12.797,13.759,1.666,10.3,16.65,12,0,0.0,0.5,0.0,0.833,0.185,0,0,False,0,0,-0.8474801587098761,0.47854548261794777
annual_deliberation_y1,ADY1_0055,Y1,11.883,12.449,11.443,12.304,1.496,10.18,15.15,12,0,0.0,0.083,0.0,0.85,0.231,0,0,False,0,0,0.1282906548152947,0.8282961802257491
annual_deliberation_y1,ADY1_0056,Y1,15.202,15.928,14.638,15.316,1.296,12.84,17.25,12,0,0.0,0.833,0.0,0.87,0.138,0,0,False,0,0,-1.7360850348490093,0.5365650667030629
annual_deliberation_y1,ADY1_0057,Y1,9.753,10.794,8.943,10.762,2.625,7.25,15.05,12,5,0.417,0.167,0.167,0.738,0.424,0,0,False,0,1,2.176108458257852,0.05947247872638225
annual_deliberation_y1,ADY1_0058,Y1,10.739,12.037,9.729,11.892,3.064,7.16,16.5,12,3,0.25,0.25,0.083,0.694,0.345,0,0,False,0,1,1.1935823826038037,-0.30083338233458906
annual_deliberation_y1,ADY1_0059,Y1,12.64,12.491,12.755,13.122,2.434,10.2,18.4,12,0,0.0,0.333,0.0,0.757,0.215,0,0,False,0,0,-0.32133139171277697,0.05089077313177263
annual_deliberation_y1,ADY1_0060,Y1,15.994,17.474,14.842,16.067,2.216,12.42,18.58,12,0,0.0,0.75,0.0,0.778,0.121,0,0,False,0,0,-1.7101163177043202,-0.16126386506204496
annual_deliberation_y1,ADY1_0061,Y1,13.565,13.277,13.788,13.9,1.45,10.8,16.3,12,0,0.0,0.417,0.0,0.855,0.184,0,0,False,0,0,-0.7451594535925465,0.6543482370367918
annual_deliberation_y1,ADY1_0062,Y1,13.47,13.861,13.165,13.846,1.185,12.25,15.88,12,0,0.0,0.417,0.0,0.881,0.186,0,0,False,0,0,-0.7454324370712195,0.8468078759385816
annual_deliberation_y1,ADY1_0063,Y1,9.352,10.431,8.512,10.269,2.997,5.64,16.0,12,5,0.417,0.083,0.25,0.7,0.449,0,0,False,0,1,2.6376349858902093,-0.15955937830795358
annual_deliberation_y1,ADY1_0064,Y1,13.522,14.339,12.887,13.975,1.81,11.65,17.0,12,0,0.0,0.5,0.0,0.819,0.187,0,0,False,0,0,-0.8230824791763182,0.3832593024207014
annual_deliberation_y1,ADY1_0065,Y1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,1.0,0.0,1.0,1.0,0.95,3,0,False,1,2,8.158779832805825,2.563101371546549
annual_deliberation_y1,ADY1_0066,Y1,12.798,13.436,12.302,13.261,1.725,9.4,15.7,12,1,0.083,0.333,0.0,0.827,0.228,0,0,False,0,0,-0.19145057443867003,0.5110067628110079
annual_deliberation_y1,ADY1_0067,Y1,11.406,11.678,11.194,11.85,1.72,8.67,15.0,12,2,0.167,0.083,0.0,0.828,0.287,0,0,False,0,0,0.7187885716372849,0.660383531487415
annual_deliberation_y1,ADY1_0068,Y1,8.753,10.431,7.448,9.868,3.619,4.6,15.75,12,7,0.583,0.167,0.333,0.638,0.523,0,0,False,1,1,3.3834648432133263,-0.6203641091760119
annual_deliberation_y1,ADY1_0069,Y1,9.898,11.286,8.819,11.214,4.166,5.0,16.15,12,4,0.333,0.333,0.25,0.583,0.419,0,0,False,0,1,2.025479668742903,-1.0657384463065533
annual_deliberation_y1,ADY1_0070,Y1,16.639,16.119,17.044,16.733,1.665,13.89,19.8,12,0,0.0,0.917,0.0,0.834,0.101,0,0,False,0,0,-2.1491334552970702,0.14765696947274473
annual_deliberation_y1,ADY1_0071,Y1,10.302,11.406,9.443,11.635,4.41,5.0,17.6,12,3,0.25,0.333,0.25,0.559,0.389,0,0,False,0,1,1.7281500766486673,-1.2435738746081129
annual_deliberation_y1,ADY1_0072,Y1,13.777,14.348,13.333,14.22,2.274,10.8,17.83,12,0,0.0,0.667,0.0,0.773,0.183,0,0,False,0,0,-1.079588411987036,-0.0013853418052910008
annual_deliberation_y1,ADY1_0073,Y1,14.226,12.959,15.211,14.347,1.819,11.3,18.6,12,0,0.0,0.583,0.0,0.818,0.168,0,0,False,0,0,-1.1016909412552207,0.3014554862233801
annual_deliberation_y1,ADY1_0074,Y1,5.824,9.927,2.633,7.009,5.083,0.0,15.3,12,8,0.667,0.167,0.667,0.492,0.682,0,0,False,1,1,5.278014004637563,-1.448868643525417
annual_deliberation_y1,ADY1_0075,Y1,15.992,16.181,15.846,15.65,2.475,12.1,20.0,12,0,0.0,0.75,0.0,0.752,0.123,0,0,False,0,0,-1.6839286420572415,-0.3456459188804802
annual_deliberation_y1,ADY1_0076,Y1,11.285,11.055,11.463,12.14,2.542,7.34,15.6,12,1,0.083,0.333,0.083,0.746,0.286,0,0,False,0,0,0.44035153037401925,0.05607012394387329
annual_deliberation_y1,ADY1_0077,Y1,9.631,11.166,8.437,10.728,3.133,5.5,16.2,12,5,0.417,0.167,0.167,0.687,0.43,0,0,False,0,1,2.2508266502844916,-0.2931177285431135
annual_deliberation_y1,ADY1_0078,Y1,14.505,15.604,13.649,14.876,1.575,10.95,16.93,12,0,0.0,0.917,0.0,0.842,0.159,0,0,False,0,0,-1.6732260117077344,0.3742435432189511
annual_deliberation_y1,ADY1_0079,Y1,10.725,11.622,10.027,11.641,2.887,6.92,16.85,12,3,0.25,0.167,0.083,0.711,0.345,0,0,False,0,1,1.303273717549862,-0.16006232148989435
annual_deliberation_y1,ADY1_0080,Y1,13.075,14.362,12.074,13.662,2.082,8.94,16.85,12,1,0.083,0.417,0.0,0.792,0.222,0,0,False,0,0,-0.34477476756968767,0.2212897016367133
annual_deliberation_y1,ADY1_0081,Y1,11.914,11.721,12.063,12.613,2.474,9.02,16.2,12,2,0.167,0.25,0.0,0.753,0.276,0,0,False,0,0,0.42710275437926987,0.04917571866796822
annual_deliberation_y1,ADY1_0082,Y1,13.195,13.326,13.094,13.413,2.226,8.85,16.27,12,1,0.083,0.417,0.0,0.777,0.219,0,0,False,0,0,-0.3595622278551996,0.10505281950108052
annual_deliberation_y1,ADY1_0083,Y1,14.823,14.499,15.076,14.848,2.097,12.25,18.65,12,0,0.0,0.667,0.0,0.79,0.153,0,0,False,0,0,-1.3335828032195123,0.036043357345528985
annual_deliberation_y1,ADY1_0084,Y1,15.971,16.272,15.737,15.615,1.999,12.1,19.1,12,0,0.0,0.75,0.0,0.8,0.121,0,0,False,0,0,-1.723699794868313,-0.003010883640625737
annual_deliberation_y1,ADY1_0085,Y1,13.244,13.958,12.689,14.008,2.838,7.82,17.05,12,1,0.083,0.667,0.083,0.716,0.233,0,0,False,0,0,-0.4642291367852754,-0.3886118697723338
annual_deliberation_y1,ADY1_0086,Y1,8.994,10.669,7.692,10.299,3.716,5.0,15.45,12,5,0.417,0.083,0.25,0.628,0.463,0,0,False,0,1,2.7864939712389636,-0.6424371477437452
annual_deliberation_y1,ADY1_0087,Y1,11.58,11.164,11.903,12.091,2.379,8.63,15.3,12,2,0.167,0.333,0.0,0.762,0.285,0,0,False,0,0,0.3746540595482046,0.12100995726066195
annual_deliberation_y1,ADY1_0088,Y1,9.271,10.684,8.172,10.121,2.745,5.66,15.0,12,5,0.417,0.167,0.25,0.726,0.45,0,0,False,0,1,2.510187476984637,0.012637809688651113
annual_deliberation_y1,ADY1_0089,Y1,14.114,15.407,13.108,14.237,2.208,10.15,17.45,12,0,0.0,0.5,0.0,0.779,0.173,0,0,False,0,0,-0.9198725665484645,0.0520457657081505
annual_deliberation_y1,ADY1_0090,Y1,12.895,13.707,12.263,13.272,2.593,9.2,17.98,12,2,0.167,0.417,0.0,0.741,0.25,0,0,False,0,0,-0.02624979049911779,-0.15178564480404713
annual_deliberation_y1,ADY1_0091,Y1,11.683,14.142,9.77,12.252,2.767,7.1,16.35,12,2,0.167,0.333,0.083,0.723,0.297,0,0,False,0,0,0.6029532936906787,-0.16400092630530702
annual_deliberation_y1,ADY1_0092,Y1,15.009,15.932,14.291,15.075,1.851,12.57,18.43,12,0,0.0,0.667,0.0,0.815,0.147,0,0,False,0,0,-1.3976278544548288,0.19894937872103557
annual_deliberation_y1,ADY1_0093,Y1,13.267,14.189,12.549,13.743,1.887,10.08,16.05,12,0,0.0,0.5,0.0,0.811,0.195,0,0,False,0,0,-0.7561778821944473,0.3468753524048069
annual_deliberation_y1,ADY1_0094,Y1,14.009,15.084,13.174,14.347,1.629,10.72,16.2,12,0,0.0,0.667,0.0,0.837,0.173,0,0,False,0,0,-1.1921334948474498,0.4347207859550188
annual_deliberation_y1,ADY1_0095,Y1,11.62,12.501,10.934,12.212,2.218,7.9,15.6,12,2,0.167,0.25,0.083,0.778,0.296,0,0,False,0,0,0.6876020969062312,0.2505168306100498
annual_deliberation_y1,ADY1_0096,Y1,12.918,11.703,13.863,13.395,2.408,9.15,17.7,12,2,0.167,0.5,0.0,0.759,0.248,0,0,False,0,0,-0.1700834577152657,-0.0446193816948675
annual_deliberation_y1,ADY1_0097,Y1,14.409,15.645,13.448,14.408,1.565,12.23,16.7,12,0,0.0,0.583,0.0,0.843,0.162,0,0,False,0,0,-1.165297617272557,0.4645780800904093
annual_deliberation_y1,ADY1_0098,Y1,1.282,2.931,0.0,1.901,2.34,0.0,4.9,9,9,1.0,0.0,1.0,0.766,0.926,3,0,False,1,2,8.081230437907447,0.7985265250176218
annual_deliberation_y1,ADY1_0099,Y1,10.625,12.039,9.525,11.504,3.041,6.7,15.8,12,5,0.417,0.25,0.167,0.696,0.402,0,0,False,0,1,1.8957236778473228,-0.327097352212445
annual_deliberation_y1,ADY1_0100,Y1,13.297,12.759,13.716,13.47,1.312,11.8,16.4,12,0,0.0,0.417,0.0,0.869,0.191,0,0,False,0,0,-0.6962347245313637,0.775226591506205
annual_deliberation_y1,ADY1_0101,Y1,11.208,12.1,10.514,11.655,1.973,9.1,14.2,12,3,0.25,0.25,0.0,0.803,0.314,0,0,False,0,0,0.7720180932160391,0.436026899572546
annual_deliberation_y1,ADY1_0102,Y1,16.501,17.01,16.104,16.335,1.803,13.8,18.85,12,0,0.0,0.917,0.0,0.82,0.105,0,0,False,0,0,-2.1064448645272145,0.059044547130689816
annual_deliberation_y1,ADY1_0103,Y1,13.493,14.814,12.465,13.866,1.882,11.0,17.6,12,0,0.0,0.333,0.0,0.812,0.188,0,0,False,0,0,-0.5675857440923269,0.3735367224704498
annual_deliberation_y1,ADY1_0104,Y1,11.509,10.657,12.172,11.952,2.072,8.52,15.6,12,2,0.167,0.083,0.0,0.793,0.286,0,0,False,0,0,0.7277594756791603,0.40355452862361635
annual_deliberation_y1,ADY1_0105,Y1,11.812,12.333,11.407,12.364,1.675,10.02,15.4,12,0,0.0,0.167,0.0,0.832,0.234,0,0,False,0,0,0.03914088291366017,0.6871238125398526
annual_deliberation_y1,ADY1_0106,Y1,11.96,13.536,10.734,12.721,2.359,7.96,16.2,12,1,0.083,0.417,0.083,0.764,0.266,0,0,False,0,0,0.14695710911822132,0.11110414198165794
annual_deliberation_y1,ADY1_0107,Y1,9.211,10.166,8.467,10.009,2.62,6.45,14.4,12,7,0.583,0.083,0.25,0.738,0.493,0,0,False,0,1,3.0955684851488705,0.072481445195796
annual_deliberation_y1,ADY1_0108,Y1,14.353,15.029,13.828,14.621,1.369,12.31,16.6,12,0,0.0,0.667,0.0,0.863,0.162,0,0,False,0,0,-1.2947122056151323,0.5919946580606351
annual_deliberation_y1,ADY1_0109,Y1,10.751,12.809,9.151,11.763,3.258,6.6,16.0,12,5,0.417,0.25,0.167,0.674,0.4,0,0,False,0,1,1.888385992467136,-0.4933235264381853
annual_deliberation_y1,ADY1_0110,Y1,14.503,15.831,13.471,14.676,1.756,11.85,17.06,12,0,0.0,0.583,0.0,0.824,0.16,0,0,False,0,0,-1.1702698940324165,0.3220155477572297
annual_deliberation_y1,ADY1_0111,Y1,11.018,11.989,10.263,11.711,2.015,8.79,15.0,12,2,0.167,0.167,0.0,0.799,0.299,0,0,False,0,0,0.7108488849573392,0.4662182785917806
annual_deliberation_y1,ADY1_0112,Y1,13.714,14.611,13.016,13.898,1.646,11.3,16.43,12,0,0.0,0.417,0.0,0.835,0.181,0,0,False,0,0,-0.7603335514772075,0.5004285952892327
annual_deliberation_y1,ADY1_0113,Y1,12.476,13.175,11.932,12.567,1.105,10.84,14.05,12,0,0.0,0.083,0.0,0.889,0.212,0,0,False,0,0,-0.044166892006292834,1.0579763728575207
annual_deliberation_y1,ADY1_0114,Y1,13.607,14.821,12.663,13.917,1.709,11.33,16.55,12,0,0.0,0.417,0.0,0.829,0.184,0,0,False,0,0,-0.7312715612027002,0.4662522494139617
annual_deliberation_y1,ADY1_0115,Y1,12.474,14.64,10.789,13.253,3.128,6.8,18.0,12,2,0.167,0.5,0.083,0.687,0.277,0,0,False,0,0,0.21346010243664945,-0.5204617027253567
annual_deliberation_y1,ADY1_0116,Y1,12.854,13.764,12.147,13.272,2.068,10.7,17.83,12,0,0.0,0.333,0.0,0.793,0.207,0,0,False,0,0,-0.4038104019603519,0.28953421015087744
annual_deliberation_y1,ADY1_0117,Y1,8.513,10.151,7.239,9.672,3.948,2.59,15.1,12,6,0.5,0.167,0.417,0.605,0.523,0,0,False,1,1,3.4554621693348393,-0.8109492904758279
annual_deliberation_y1,ADY1_0118,Y1,5.585,5.924,5.321,7.022,4.452,1.25,14.7,12,9,0.75,0.083,0.583,0.555,0.694,0,0,False,1,1,5.410319966012969,-0.9879604670298312
annual_deliberation_y1,ADY1_0119,Y1,11.737,13.01,10.747,12.316,2.556,6.95,15.8,12,2,0.167,0.25,0.083,0.744,0.294,0,0,False,0,0,0.6908219119991723,-0.0004737674064459247
annual_deliberation_y1,ADY1_0120,Y1,11.497,12.499,10.717,12.094,2.537,8.22,15.88,12,4,0.333,0.333,0.0,0.746,0.33,0,0,False,0,1,0.8686381313090132,-0.03523115446790865
annual_deliberation_y1,ADY1_0121,Y1,15.398,16.343,14.663,15.411,1.648,11.9,17.9,12,0,0.0,0.833,0.0,0.835,0.135,0,0,False,0,0,-1.7465740426247125,0.2724847793400141
annual_deliberation_y1,ADY1_0122,Y1,5.973,8.044,4.363,6.925,3.837,0.8,12.4,12,8,0.667,0.0,0.583,0.616,0.659,0,0,False,1,1,5.155924801550919,-0.5422108288107295
annual_deliberation_y1,ADY1_0123,Y1,14.603,16.077,13.456,14.885,2.184,11.65,18.15,12,0,0.0,0.667,0.0,0.782,0.159,0,0,False,0,0,-1.2776628638409326,-0.0034048090001960723
annual_deliberation_y1,ADY1_0124,Y1,11.723,11.076,12.227,12.645,2.772,8.85,16.5,12,3,0.25,0.417,0.0,0.723,0.304,0,0,False,0,0,0.4860955299874907,-0.21100670595663062
annual_deliberation_y1,ADY1_0125,Y1,11.342,12.968,10.078,11.858,2.681,6.06,14.75,12,4,0.333,0.333,0.083,0.732,0.347,0,0,False,0,1,1.130058386808294,-0.1223268329717368
annual_deliberation_y1,ADY1_0126,Y1,13.053,14.216,12.148,13.493,1.888,10.0,16.1,12,0,0.0,0.333,0.0,0.811,0.2,0,0,False,0,0,-0.4672988338591514,0.40140806636064924
annual_deliberation_y1,ADY1_0127,Y1,8.985,10.716,7.639,9.857,3.344,5.9,15.05,12,7,0.583,0.167,0.333,0.666,0.515,0,0,False,1,1,3.3045171648706604,-0.43996286794958395
annual_deliberation_y1,ADY1_0128,Y1,12.689,13.365,12.164,13.275,2.129,8.3,16.0,12,1,0.083,0.417,0.0,0.787,0.233,0,0,False,0,0,-0.2522329596838569,0.2165225916267105
annual_deliberation_y1,ADY1_0129,Y1,14.877,14.446,15.212,14.986,1.746,12.9,18.6,12,0,0.0,0.667,0.0,0.825,0.15,0,0,False,0,0,-1.377235903789401,0.2804633252955386
annual_deliberation_y1,ADY1_0130,Y1,12.986,13.091,12.904,13.371,1.802,10.89,16.6,12,0,0.0,0.417,0.0,0.82,0.202,0,0,False,0,0,-0.5807635894246903,0.45185998456865384
annual_deliberation_y1,ADY1_0131,Y1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,1.0,0.0,1.0,1.0,0.95,3,0,False,1,2,8.158779832805825,2.563101371546549
