behavior_student_id,cluster_3,cluster_3_label,cluster_4,cluster_4_label,at_risk,behavioral_risk_score,wellbeing_score,engagement_score,distraction_risk_score
B0043,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.236122064589259,5.331404477069098,4.280167693461593,4.662341324301545
B0044,1,Disengaged_AtRisk,1,HighStress,1,5.72512677240184,4.573099548721026,1.30288356114629,4.331110109218878
B0045,1,Disengaged_AtRisk,1,HighStress,0,4.715251375146783,4.33210813767129,5.22817611368095,6.247711379473632
B0046,1,Disengaged_AtRisk,0,Moderate_LowStress,1,5.193015988517274,5.677631365896369,1.946836995632264,5.692058588777005
B0047,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.73980145638719,6.018209487232022,1.7980001879572662,4.219057398184452
B0048,1,Disengaged_AtRisk,0,Moderate_LowStress,1,4.998708660190933,5.234326814616097,2.2508215672729994,3.726848385576048
B0049,1,Disengaged_AtRisk,0,Moderate_LowStress,0,3.999224165750236,5.570580130845296,4.696183373961353,3.537776193976652
B0050,2,HighDistraction_Burnout,1,HighStress,1,5.117519293541985,4.653514585016368,3.5392546064068937,5.5935492825944735
B0051,1,Disengaged_AtRisk,0,Moderate_LowStress,0,3.5067741080250485,6.20539590101859,5.515100187816591,3.1486717011390906
B0052,1,Disengaged_AtRisk,0,Moderate_LowStress,1,5.005006529494899,4.020015033701595,3.416468862499115,3.700513020920624
B0053,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.3464266108149365,5.870315433479019,4.669055562098976,4.699140525533544
B0054,2,HighDistraction_Burnout,3,DigitalDistracted,1,6.297506820143955,3.850000000000001,1.811799998157977,7.141827278733797
B0055,1,Disengaged_AtRisk,1,HighStress,0,4.438748611564176,3.0805809157055606,4.964473269260087,3.776164814363464
B0056,2,HighDistraction_Burnout,1,HighStress,1,5.749710577040587,5.50052169103398,2.6088835206663905,7.008351858069513
B0057,1,Disengaged_AtRisk,0,Moderate_LowStress,1,5.3675283383072045,5.475587070756693,3.754494357547155,6.995312195684006
B0058,1,Disengaged_AtRisk,0,Moderate_LowStress,1,5.433725659940939,5.675431618321159,2.1847529558688965,6.970173537618043
B0059,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.178884856745203,6.3015201789655375,1.757449820102665,2.754813461842121
B0060,2,HighDistraction_Burnout,3,DigitalDistracted,1,5.280946664010866,5.677137906759131,5.047504050830831,7.9438561949852495
B0061,1,Disengaged_AtRisk,1,HighStress,0,4.65709978218419,4.460214871004308,4.028037793835462,5.128694767777395
B0062,1,Disengaged_AtRisk,0,Moderate_LowStress,1,4.830883690916643,6.25,3.88981886537211,7.193353629038682
B0063,1,Disengaged_AtRisk,0,Moderate_LowStress,1,4.8771714375874975,5.0596910120327685,3.132684777134312,4.152999741923622
B0064,1,Disengaged_AtRisk,2,HighPerformer,0,3.733218261075584,4.643108108774089,4.907408002243059,3.172010777074303
B0065,2,HighDistraction_Burnout,1,HighStress,1,5.626594862660684,4.236077044451246,3.776835884726181,6.16650778871041
B0066,1,Disengaged_AtRisk,1,HighStress,0,4.711025438023667,4.092445590086191,2.6478440646733548,3.522880524871456
B0067,1,Disengaged_AtRisk,1,HighStress,0,4.615143557549426,3.7698473033939215,5.765609005729591,4.75
B0068,1,Disengaged_AtRisk,0,Moderate_LowStress,1,5.078219598986488,5.714360146572831,3.3698894281666494,5.5
B0069,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.223367379309733,6.125693296321132,3.254230942952365,4.058532415776652
B0070,1,Disengaged_AtRisk,0,Moderate_LowStress,0,3.263722568563112,6.454969806821471,6.239308500642784,2.000162543080996
B0071,1,Disengaged_AtRisk,1,HighStress,1,4.832016741660838,4.005080607663096,2.103874907769621,2.718038603608691
B0072,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.042413167948944,6.414329119237137,4.995246795611173,3.5020944104915133
B0073,1,Disengaged_AtRisk,0,Moderate_LowStress,1,5.131972348732367,4.967409726464107,3.2117874249487133,5.22056849163511
B0074,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.634008893817782,6.55,3.638306437973896,5.554342013245023
B0075,2,HighDistraction_Burnout,3,DigitalDistracted,1,5.305250895278483,4.815247321727711,4.999748986241911,7.759049353429095
B0076,1,Disengaged_AtRisk,1,HighStress,0,4.133983395491169,3.685434688127197,5.133329754541805,3.05178496225912
B0077,2,HighDistraction_Burnout,3,DigitalDistracted,1,5.348680240516973,4.546632943614167,4.888571792507535,7.259252286912428
B0078,0,Engaged_Disciplined,2,HighPerformer,0,3.5695816469828405,7.031722999898745,4.311111111111111,4.067505298920968
B0079,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.010414210254388,5.074216704840617,4.5654080013218685,3.256124888148161
B0080,2,HighDistraction_Burnout,3,DigitalDistracted,1,4.842429916493515,5.015494136353062,4.977777777777778,6.606090407375511
B0081,0,Engaged_Disciplined,2,HighPerformer,0,3.229563595175524,4.9631079122480095,6.311111111111111,2.2250949865108214
B0082,2,HighDistraction_Burnout,3,DigitalDistracted,1,4.875992671449889,3.913503893313537,4.970377433935859,6.77055279171166
B0083,2,HighDistraction_Burnout,3,DigitalDistracted,1,4.908693012317227,3.8,5.377777777777777,7.172549827046687
B0084,0,Engaged_Disciplined,2,HighPerformer,0,4.406902665569779,3.8,5.177777777777778,4.085388440056896
B0085,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.546060909147231,4.663818942900528,5.715597012962818,6.216423381032374
B0086,1,Disengaged_AtRisk,0,Moderate_LowStress,1,4.833247597088393,6.205028450626268,3.12739165077623,4.066416179881324
B0087,0,Engaged_Disciplined,2,HighPerformer,0,3.488868865787538,5.236484071539298,7.084496120075082,3.9637524690723938
B0088,0,Engaged_Disciplined,2,HighPerformer,0,4.246717077447015,4.620787264728621,4.977777777777778,3.7495908052401856
B0089,2,HighDistraction_Burnout,3,DigitalDistracted,1,5.476085307094174,5.596530236971139,4.35454505575056,8.814722568492623
B0090,1,Disengaged_AtRisk,0,Moderate_LowStress,1,5.407329142817581,3.92944711659718,3.2883275307480684,4.912980641935009
B0091,0,Engaged_Disciplined,2,HighPerformer,0,3.585592071335184,6.837526117597916,7.177777777777778,6.285177404236011
B0092,1,Disengaged_AtRisk,0,Moderate_LowStress,0,3.9823592043306206,8.580010331632327,5.457627045681498,7.363076260962773
B0093,0,Engaged_Disciplined,2,HighPerformer,0,3.807997733469649,6.165765145762669,4.71111111111111,3.982020219904911
B0094,0,Engaged_Disciplined,2,HighPerformer,0,3.1919448120533205,6.446510893195845,7.377777777777777,2.441370097826074
B0095,1,Disengaged_AtRisk,0,Moderate_LowStress,1,5.136021524316605,5.331646162716147,2.6483888710747108,6.390450363600507
B0096,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.071807743157908,6.914897769084678,4.038593410664,4.9437017061972455
B0097,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.318879724162279,5.487620403380385,4.45276656304301,3.4334299437485893
B0098,0,Engaged_Disciplined,2,HighPerformer,0,3.384704785501162,4.421193548536341,7.5777777777777775,3.2220291780260344
B0099,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.8182815264714,5.245048972325419,3.0762350881348643,3.843419960810966
B0100,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.454914580014314,5.7741663671434535,5.878934144850079,6.467592105479479
B0101,1,Disengaged_AtRisk,0,Moderate_LowStress,1,5.269835559243976,5.443609338112364,3.774020299802925,6.985693742513666
B0102,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.212021265170359,5.863943002184992,4.71111111111111,4.515927774414536
B0103,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.5245319402359065,5.272962187142503,5.187250838840949,5.692933224355578
B0104,0,Engaged_Disciplined,2,HighPerformer,0,3.442815889802879,7.33706906693316,7.177777777777778,5.913524217309086
B0105,0,Engaged_Disciplined,2,HighPerformer,0,3.890161177765469,5.043566798641172,7.377777777777777,4.190702647209058
B0106,1,Disengaged_AtRisk,0,Moderate_LowStress,0,3.864794867724597,5.284525805927276,2.9928952039506567,1.8335056419617783
B0107,2,HighDistraction_Burnout,3,DigitalDistracted,0,4.032138755263327,6.328530279639641,6.623358197314582,7.546149553935463
B0108,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.491924805593865,7.1,3.525500844551672,6.653200066927134
B0109,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.643663516413883,5.989329426928276,4.188138463595189,6.109987841564651
B0110,2,HighDistraction_Burnout,3,DigitalDistracted,1,4.99427147029797,4.736918270663253,4.71111111111111,7.57249891709889
B0111,0,Engaged_Disciplined,2,HighPerformer,0,4.0256757474989895,5.32731570201248,5.377777777777777,4.113259610188709
B0112,2,HighDistraction_Burnout,3,DigitalDistracted,0,4.6027659274577655,4.917205379336,6.71111111111111,7.022821276145375
B0113,0,Engaged_Disciplined,2,HighPerformer,0,3.290777935533155,6.057502403180929,5.116596280726887,3.1487109066766195
B0114,0,Engaged_Disciplined,2,HighPerformer,0,4.226045628796472,7.416490958445462,4.977777777777778,4.861749443098217
B0115,0,Engaged_Disciplined,2,HighPerformer,0,4.343985420835925,5.865195482551427,5.5777777777777775,4.551954040183192
B0116,0,Engaged_Disciplined,0,Moderate_LowStress,0,4.288753272039643,6.096876077445723,7.111111111111111,6.30237549220455
B0117,0,Engaged_Disciplined,2,HighPerformer,0,3.782253866924535,5.281379677178905,6.311111111111111,4.097782191423935
B0118,0,Engaged_Disciplined,2,HighPerformer,0,4.094554908396296,5.899277157055912,7.5777777777777775,7.675129999830053
B0119,0,Engaged_Disciplined,2,HighPerformer,0,4.146429345555292,5.95392948932567,7.5777777777777775,6.748210547189751
B0120,0,Engaged_Disciplined,2,HighPerformer,0,3.909488931735829,5.394935606670233,6.911111111111111,5.662989566058707
B0121,0,Engaged_Disciplined,2,HighPerformer,0,4.620955708554305,3.3000000000000003,7.5777777777777775,6.981600611995001
B0122,0,Engaged_Disciplined,2,HighPerformer,0,4.255828669114977,4.263623783622382,5.5777777777777775,3.4774409945845437
B0123,1,Disengaged_AtRisk,0,Moderate_LowStress,0,3.949617787721666,6.45,5.960744697624879,4.699215848511543
B0124,0,Engaged_Disciplined,2,HighPerformer,0,3.950142300411101,6.325542965184965,4.511111111111111,5.262331870977475
B0125,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.164823900567743,5.561220942428263,5.874637227097786,5.127397960282672
B0126,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.798345687595029,4.901452276779521,4.206777568904991,4.801903051420533
B0127,2,HighDistraction_Burnout,3,DigitalDistracted,0,4.634933971301579,5.7323804140267125,5.377777777777777,7.036370159816146
B0128,2,HighDistraction_Burnout,3,DigitalDistracted,0,4.711027808579535,6.6027521403425,4.001115685987421,7.168529488716558
B0129,0,Engaged_Disciplined,2,HighPerformer,0,3.2892698765574604,7.3,5.777777777777778,4.334857284007619
B0130,0,Engaged_Disciplined,0,Moderate_LowStress,0,4.663368977228304,4.1750670595372,6.71111111111111,6.054667491468967
B0131,1,Disengaged_AtRisk,0,Moderate_LowStress,0,3.8855862500328895,6.211205872018039,3.159274838105804,1.995066884659012
B0132,2,HighDistraction_Burnout,3,DigitalDistracted,0,4.567989913151659,5.712845259765072,7.177777777777778,8.7051517421025
B0133,0,Engaged_Disciplined,2,HighPerformer,0,3.567861426623834,5.01729466506032,6.911111111111111,3.283310415678833
B0134,0,Engaged_Disciplined,2,HighPerformer,0,3.197398728079907,5.788133241143999,6.71111111111111,2.366465912803538
B0135,1,Disengaged_AtRisk,0,Moderate_LowStress,1,5.301226595961084,5.314720409565298,3.3090970144637764,5.371667889786468
B0136,0,Engaged_Disciplined,2,HighPerformer,0,3.309356278196075,5.271528216620337,7.5777777777777775,3.78103675050648
B0137,0,Engaged_Disciplined,2,HighPerformer,0,3.420058538172774,5.866354342193887,5.377777777777777,3.537637141101539
B0138,0,Engaged_Disciplined,2,HighPerformer,0,4.500873527598818,5.133211185927939,6.71111111111111,6.5544586446199125
B0139,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.523828544300166,3.821850859730838,3.729328669492108,1.7708638783697777
B0140,0,Engaged_Disciplined,2,HighPerformer,0,4.096053999210185,6.301971306030833,4.71111111111111,4.257692675188849
B0141,0,Engaged_Disciplined,2,HighPerformer,0,3.615582900939366,6.21359725973145,6.511111111111111,4.509759426546316
B0142,2,HighDistraction_Burnout,3,DigitalDistracted,1,4.901289199617168,5.53994316789082,5.33464706658604,7.827735666523694
B0143,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.70941859231348,5.404360598541636,4.234951243229791,5.317858330733669
B0144,0,Engaged_Disciplined,2,HighPerformer,0,3.648078934265691,5.207042582336037,7.111111111111111,3.551877946977118
B0145,0,Engaged_Disciplined,3,DigitalDistracted,0,4.65312689331224,4.839019697580674,7.177777777777778,7.757108988123543
B0146,0,Engaged_Disciplined,2,HighPerformer,0,3.6281491295391537,5.826577506853428,5.5777777777777775,3.082267304158507
B0147,0,Engaged_Disciplined,2,HighPerformer,0,3.616098162490893,6.516895841970562,6.71111111111111,5.875778771439357
B0148,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.086992819049637,6.053248472177237,4.685604429265638,4.377473872076871
B0149,0,Engaged_Disciplined,2,HighPerformer,0,3.9863324000559888,4.304878730760852,7.177777777777778,4.528961854914755
B0150,0,Engaged_Disciplined,2,HighPerformer,0,3.78104362392305,5.628249535961832,6.311111111111111,4.26918504995751
B0151,0,Engaged_Disciplined,2,HighPerformer,0,3.3751550380087645,5.726735255408448,5.69071876067265,2.863421219197845
B0152,0,Engaged_Disciplined,2,HighPerformer,0,4.074287292841618,6.068713137383201,6.266258558113679,7.04586349433999
B0153,1,Disengaged_AtRisk,0,Moderate_LowStress,1,5.007980910575339,5.739718504766526,5.917352952790314,6.916938800811499
B0154,0,Engaged_Disciplined,2,HighPerformer,0,4.755101170349074,3.8,6.71111111111111,6.45151579250741
B0155,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.437867655913324,4.139342845970669,4.8837495188541,4.002431557672198
B0156,2,HighDistraction_Burnout,3,DigitalDistracted,1,4.883504351969808,6.194780342325466,4.03215259367644,7.23990641234623
B0157,1,Disengaged_AtRisk,0,Moderate_LowStress,1,4.917999194165228,5.931384018073763,3.6987897020413913,6.088447300390821
B0158,0,Engaged_Disciplined,2,HighPerformer,0,4.022033387537346,3.949001867098177,7.5777777777777775,5.444713568444973
B0159,0,Engaged_Disciplined,2,HighPerformer,0,3.511408703375393,6.643106801535056,5.485800029173892,4.30316300451753
B0160,1,Disengaged_AtRisk,0,Moderate_LowStress,1,5.424276989889617,3.900409427898007,3.557088036041784,6.494687309077858
B0161,2,HighDistraction_Burnout,3,DigitalDistracted,0,4.683557637469362,6.3626351687598985,4.615840072903665,7.54523282529299
B0162,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.524904420473916,6.188261057522171,5.015333758797209,6.700864709719477
B0163,0,Engaged_Disciplined,2,HighPerformer,0,3.095952180971741,7.0563418478294695,6.311111111111111,3.96253005239344
B0164,0,Engaged_Disciplined,2,HighPerformer,0,2.9686552167893225,7.571392787329947,7.5777777777777775,5.178069989731005
B0165,0,Engaged_Disciplined,2,HighPerformer,0,4.195833149573635,4.4,4.911111111111111,2.654443709405649
B0166,0,Engaged_Disciplined,2,HighPerformer,0,3.854216605439977,5.548720436936044,6.71111111111111,4.786442057194272
B0167,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.386262709664608,6.380035390994104,4.720800329291191,5.121893637142547
B0168,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.646608184045409,6.18717436413419,3.390720015258964,5.401761988401626
B0169,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.33801277389187,6.7,3.254970933013152,4.887022028580631
B0170,0,Engaged_Disciplined,2,HighPerformer,0,4.804357882128747,4.15,5.5777777777777775,6.095209306292768
B0171,0,Engaged_Disciplined,2,HighPerformer,0,4.13122864788472,6.533472691577392,6.579072768738938,6.384154590170692
B0172,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.667472133186488,6.523357294816588,3.263334347398811,6.161251633924668
B0173,0,Engaged_Disciplined,2,HighPerformer,0,4.325040539503676,6.0784036839574105,5.111111111111111,5.945357689874706
B0174,2,HighDistraction_Burnout,3,DigitalDistracted,1,5.041010669826947,6.842561041982719,4.71111111111111,9.326227040798155
B0175,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.417428543752963,5.97461690032289,2.179700894089344,3.4989553494886643
B0176,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.523846948962598,4.033941134808941,4.393815038533716,3.409932196154837
B0177,0,Engaged_Disciplined,2,HighPerformer,0,4.177893496697605,5.495844011707185,6.650196094458204,6.596782895297247
B0178,2,HighDistraction_Burnout,3,DigitalDistracted,1,5.127680772870878,5.894527859816275,4.226034953780394,8.130191477043436
B0179,0,Engaged_Disciplined,2,HighPerformer,0,3.48729054753809,7.106225003957554,4.311111111111111,3.1877433060125395
B0180,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.165492130675732,4.158285428068101,5.36204211835214,3.173953154736788
B0181,0,Engaged_Disciplined,2,HighPerformer,0,3.758530514478245,6.078266148052747,7.377777777777777,6.26581921335405
B0182,2,HighDistraction_Burnout,3,DigitalDistracted,1,4.962731624283977,5.089746490854585,5.815403106976783,8.814025393138193
B0183,2,HighDistraction_Burnout,3,DigitalDistracted,1,4.888135752657997,6.759348972036769,4.826136985401843,8.329898762477956
B0184,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.0185310864473465,6.858282400201395,5.08234966665438,5.62641289268544
B0185,2,HighDistraction_Burnout,3,DigitalDistracted,1,4.966706531718123,6.051708365056908,4.289953299599711,7.658829464540489
B0186,0,Engaged_Disciplined,2,HighPerformer,0,4.320349425198648,4.612460400005492,7.177777777777778,5.59412795857896
B0187,0,Engaged_Disciplined,2,HighPerformer,0,3.5147585308787304,5.931614416513895,7.5777777777777775,4.754749201109373
B0188,0,Engaged_Disciplined,2,HighPerformer,0,3.613235897021037,6.639116219660189,6.409838442150465,5.469721493826841
B0189,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.180663837054753,4.421464332483963,5.484848282521806,3.513260829721573
B0190,0,Engaged_Disciplined,2,HighPerformer,0,4.51746456131083,5.179533360992848,4.71111111111111,5.236409389545848
B0191,2,HighDistraction_Burnout,3,DigitalDistracted,1,5.958083676131957,4.247945982371871,3.909655884585893,9.23952576795996
B0192,0,Engaged_Disciplined,2,HighPerformer,0,4.099052655140428,5.258638850626592,4.71111111111111,4.617688352424732
B0193,0,Engaged_Disciplined,2,HighPerformer,0,3.7951897547634057,5.081752799425604,7.377777777777777,5.696640156142125
B0194,0,Engaged_Disciplined,2,HighPerformer,0,4.407194644560484,3.8327282910208025,7.5777777777777775,6.365830305244675
B0195,0,Engaged_Disciplined,2,HighPerformer,0,2.891421664914196,6.283189409781337,7.5777777777777775,3.083291729172166
B0196,0,Engaged_Disciplined,2,HighPerformer,0,3.9335065564694456,5.712315443031565,6.459145594444341,5.287950351960001
B0197,2,HighDistraction_Burnout,3,DigitalDistracted,0,4.06276406050042,6.590487854440113,6.326481644228916,7.046123311558731
B0198,0,Engaged_Disciplined,2,HighPerformer,0,3.570021020960453,7.118928654667914,4.627475684787578,5.050274154230888
B0199,0,Engaged_Disciplined,3,DigitalDistracted,0,4.340085322520601,6.017653845561429,7.5777777777777775,7.999303682533897
B0200,0,Engaged_Disciplined,2,HighPerformer,0,4.117572911395694,5.921950457437689,7.211203706108217,7.587835900616221
B0201,0,Engaged_Disciplined,2,HighPerformer,0,4.521770952351394,4.99976177012202,4.95868275709325,5.285480690645249
B0202,1,Disengaged_AtRisk,0,Moderate_LowStress,1,4.949312544060614,4.351516426193086,5.865719609834048,5.444789497508207
B0203,0,Engaged_Disciplined,2,HighPerformer,0,4.278123738950095,4.05,5.377777777777777,4.070272733578155
B0204,2,HighDistraction_Burnout,3,DigitalDistracted,1,5.606375890535004,6.759358652943853,4.511111111111111,9.767845056783752
B0205,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.302070150655064,5.33945838645001,4.991095248449247,4.7667259148095145
B0206,1,Disengaged_AtRisk,1,HighStress,1,4.858733683318608,3.0000000000000004,5.52103321372583,4.7959679470002605
B0207,2,HighDistraction_Burnout,3,DigitalDistracted,1,5.34179695929983,5.230660570222674,5.111111111111111,8.75509163257764
B0208,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.275389687991995,4.585746611222551,4.989172021771621,3.67362670720666
B0209,1,Disengaged_AtRisk,0,Moderate_LowStress,0,3.986598338140248,5.82821884127637,5.673166137479672,4.373422099572307
B0210,2,HighDistraction_Burnout,3,DigitalDistracted,1,5.763222446408325,4.15,4.71111111111111,8.50400089674441
B0211,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.596197883672038,4.36189173853107,5.360866201416776,5.539927822342209
B0212,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.650684972441376,3.5500000000000003,5.6032200064253415,3.585959896190849
B0213,0,Engaged_Disciplined,2,HighPerformer,0,3.780775153569074,5.761686514937732,5.177777777777778,4.014902209979354
B0214,2,HighDistraction_Burnout,3,DigitalDistracted,1,5.559088472488569,5.449414210959207,4.984349056894675,10.0
B0215,0,Engaged_Disciplined,2,HighPerformer,0,3.950246117764769,5.916742471139544,6.911111111111111,5.972186547537639
B0216,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.181560579884206,6.189573384387777,5.274958319523361,4.708688700325519
B0217,2,HighDistraction_Burnout,3,DigitalDistracted,1,4.920707706626692,5.416159496429546,7.5777777777777775,10.0
B0218,0,Engaged_Disciplined,2,HighPerformer,0,4.25647302632656,3.8,7.5777777777777775,4.843669883084018
B0219,0,Engaged_Disciplined,2,HighPerformer,0,4.124323797523247,4.930528300615128,5.5777777777777775,4.551706928608918
B0220,0,Engaged_Disciplined,2,HighPerformer,0,4.395770759487764,6.026820916247223,5.111111111111111,6.326379248558833
B0221,1,Disengaged_AtRisk,2,HighPerformer,0,3.123957210133724,6.889915897588044,4.514793966925047,1.438521884565596
B0222,0,Engaged_Disciplined,2,HighPerformer,0,3.9734765977690354,5.176351460163024,6.511111111111111,4.296639254382882
B0223,0,Engaged_Disciplined,2,HighPerformer,0,2.7660268654178437,6.399294812505487,6.511111111111111,2.454372347789067
