behavior_student_id,source_dataset,age,gender_female_binary,academic_level_num,study_hours_daily,self_study_hours_daily,online_classes_hours_daily,social_media_hours_daily,gaming_hours_daily,sleep_hours,screen_time_hours_daily,exercise_minutes_daily,caffeine_intake_daily,part_time_job_binary,internet_quality_score,mental_health_score,focus_score,burnout_score,productivity_score,stress_score,assignment_punctuality_score,attendance_engagement_score,motivation_score,satisfaction_score,study_planning_score,extra_academic_work_binary,total_learning_hours_daily,distraction_hours_daily,sleep_balance_score,wellbeing_score,discipline_score,engagement_score,distraction_risk_score,behavioral_risk_score,observed_behavior_feature_count
B0018,Assessment (Responses) - Form Responses 1 (1).csv,22.0,1.0,1.0,0.42857142857142855,3.0485908813334848,0.9481368245327513,2.0,2.1591031648158325,6.0,5.889963006278812,35.0,2.9570778539891114,0.0,3.0,7.933457641024091,3.0,5.0,5.032231123153274,4.0,3.0,5.0,2.9307371989228606,2.0,3.0,1.0,3.951230722171289,4.159103164815832,7.75,6.276710174358431,3.5,4.944417506430866,5.082648375704811,4.251544665010957,13
B0019,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,2.0,0.42857142857142855,3.128941205173153,0.2419060017988287,4.0,0.885341630009237,8.0,14.52316740293154,5.0,2.1636410434520896,0.0,3.0,3.9279676925563893,3.0,5.0,4.956753421391434,10.0,5.0,5.0,3.7901460830779112,2.0,2.0,0.0,3.6784656346439957,4.885341630009237,9.25,3.6747886923947366,3.95,2.3405265815842915,7.664006222506928,6.148433302512238,14
B0020,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,2.0,0.42857142857142855,3.1360125379879094,0.014822351986787562,2.0,0.0,6.0,10.68666343696632,35.0,1.1082830211438983,0.0,3.0,3.2701445314803994,2.0,5.0,4.099409481162426,4.0,4.0,5.0,4.008980849132651,3.0,1.0,0.0,3.5719951425527317,2.0,7.75,4.6445505860181395,3.1999999999999997,3.0083720046254006,5.062221145655441,5.340097109452069,14
B0021,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,3.0,2.142857142857143,3.907834647625896,2.886732499540427,1.0,0.02712099961340127,7.0,9.035836244952089,35.0,0.0,1.0,3.0,3.9415574939494493,4.0,5.0,3.8820687843030988,8.0,4.0,5.0,2.928410762142831,2.0,4.0,1.0,7.494058040253252,1.0271209996134012,9.25,4.179545122882307,4.25,6.361083146307645,3.7822861646940806,3.9014372177319165,14
B0022,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,2.0,0.8571428571428571,3.9735835574803025,0.17774865141150542,1.0,2.941388981486778,6.0,14.056834681246375,35.0,1.7463698254814182,0.0,3.0,1.7931613384058611,3.0,5.0,6.173348480663228,4.0,5.0,5.0,2.928766684247507,2.0,2.0,1.0,4.919600740328912,3.941388981486778,7.75,4.1276064684420515,3.95,5.331371410758844,6.9560417361150835,5.087885640806444,14
B0023,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,3.0,0.8571428571428571,3.044666589697814,1.123532044307953,1.0,0.0,5.0,14.076821595514227,35.0,0.9802339662246033,0.0,4.0,3.826789981280601,4.0,5.0,3.9558514221422048,7.0,5.0,5.0,1.0,2.0,4.0,1.0,4.463575468994648,1.0,6.25,3.78937649344821,4.6,4.763207965375637,4.75,4.519885060621627,14
B0024,Assessment (Responses) - Form Responses 1 (1).csv,22.0,0.0,2.0,0.8571428571428571,4.4606901180514305,0.13030534017816142,1.0,0.1805937896310238,6.0,8.000804686402038,5.0,3.0072230110962828,0.0,4.0,10.0,3.0,5.0,7.926761708710162,7.0,4.0,5.0,1.9878519117287263,2.0,2.0,1.0,5.382985645283368,1.1805937896310237,7.75,6.25,3.5999999999999996,4.661875751570204,3.5523802376906137,3.9076261215301025,14
B0025,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,3.0,0.42857142857142855,10.25406843345616,0.7405760209471052,1.0,0.39971842494257037,7.0,7.826304637952772,35.0,0.16747907883279942,0.0,5.0,7.457203697151414,3.0,5.0,9.003787628322614,6.0,4.0,5.0,4.999174581414243,3.0,3.0,1.0,11.052927872501142,1.3997184249425705,9.25,5.910021294002995,3.8499999999999996,7.777612694060626,3.658557031357852,3.157229696123408,14
B0026,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,3.0,2.142857142857143,3.0776069805335955,2.251993600881508,2.0,0.052356812494769936,6.0,2.986347559395136,5.0,0.11297015760405474,0.0,4.0,5.893833619994148,5.0,5.0,7.89688009166425,10.0,5.0,5.0,4.919665503312625,3.0,3.0,1.0,6.346460923831492,2.0523568124947698,7.75,4.062841766997952,4.5,5.633628581306233,2.5347167958361227,3.706419523533087,14
B0027,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,2.0,2.142857142857143,8.116159991148715,0.0,6.0,1.8830015725277802,7.0,11.890395831432803,5.0,2.3210338819124328,0.0,3.0,8.435342237990666,1.0,5.0,7.057335491008082,7.0,5.0,5.0,1.0,4.0,3.0,0.0,10.259017134005857,7.88300157252778,9.25,6.002369783296733,3.9,4.311111111111111,9.875716456540102,5.530440401368228,14
B0028,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,1.0,0.8571428571428571,2.1047797113516715,0.10060170689269375,2.0,0.0,6.0,6.592430454758201,5.0,7.897178030003697,0.0,5.0,5.997803505564216,4.0,5.0,2.9062622378267133,6.0,4.0,5.0,1.8402903448330088,2.0,3.0,1.0,3.0122234219408757,2.0,7.75,5.0992312269474755,4.0,3.684058548854063,3.6974768182527336,4.373585199265425,14
B0029,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,2.0,2.142857142857143,2.1854875946536,0.3263667447916465,1.0,0.0,5.0,7.806362166359337,5.0,0.0,0.0,4.0,7.943306043338442,4.0,5.0,5.081729459636777,8.0,5.0,5.0,5.028266348741006,3.0,2.0,0.0,4.491528109906566,1.0,6.25,4.9801571151684545,4.1,2.913375624821939,3.352120722119779,4.475639139773924,14
B0030,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,2.0,0.42857142857142855,7.028613550519438,0.7787181992743677,1.0,0.0,7.0,9.223000380549653,5.0,1.7887599582679854,0.0,4.0,6.81556485628646,3.0,5.0,5.212120705855775,5.0,5.0,5.0,2.7404297854408703,2.0,3.0,1.0,7.8465440787280505,1.0,9.25,5.935447699700261,4.2,5.797814699690505,3.8243334601832175,3.5459953802130997,14
B0031,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,3.0,0.8571428571428571,2.7950135512931267,0.0,1.0,0.0,5.0,8.398171763064394,5.0,0.1649327778801974,0.0,3.0,2.9598795742039843,3.0,5.0,3.8745212142693712,10.0,4.0,5.0,3.9736919619375937,2.0,3.0,0.0,3.652156408435984,1.0,6.25,2.7359578509713947,3.8499999999999996,2.3667120668730233,3.5493905876881313,5.434882274912359,14
B0032,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,1.0,0.8571428571428571,7.063177510355017,4.81320133917704,2.0,0.0,6.0,7.163269084773163,5.0,0.004787315284283629,0.0,4.0,1.0,4.0,5.0,5.977222360832298,8.0,5.0,5.0,1.0835330325693666,2.0,5.0,0.0,10.326921037086393,2.0,7.75,2.8500000000000005,4.85,4.327817717624984,3.8877563615910544,4.594984660991518,14
B0033,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,2.0,0.42857142857142855,1.897041913017651,0.18496616297589566,4.0,0.0,6.0,8.386991829150576,35.0,0.0,0.0,4.0,1.0,4.0,5.0,8.080474728836261,9.0,4.0,5.0,3.903730120630948,3.0,2.0,1.0,2.4180964230770274,4.0,7.75,2.6,3.75,4.525762371134778,5.795663943050192,5.537475392978854,14
B0034,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,1.0,0.8571428571428571,2.9164431008274456,1.0183700359200578,2.0,0.0,5.0,6.02140619443764,5.0,1.0444934357829916,0.0,4.0,6.665271005912905,3.0,5.0,7.923968854744935,6.0,5.0,5.0,2.0651071464647237,2.0,3.0,0.0,4.282770975930331,2.0,6.25,5.032844852069517,4.2,2.2372409307761885,3.50713539814588,4.627620161221568,14
B0035,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,1.0,0.0,3.0926848525312467,0.935228203864641,4.0,0.0,8.0,5.436798786087355,35.0,2.058535871552938,0.0,4.0,3.3578404803323525,3.0,5.0,6.0809962791763175,2.0,4.0,5.0,4.105029713401238,3.0,1.0,0.0,3.5602989544635673,4.0,9.25,5.4752441681163235,3.3499999999999996,3.0229033022434524,4.812266262029119,4.9647674895115195,14
B0036,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,1.0,0.42857142857142855,5.1957317983314075,1.080333264041965,1.0,1.1350719363874502,6.0,6.515042684897292,5.0,2.9682314969039747,0.0,4.0,5.215659803164753,1.0,5.0,7.096884017135633,4.0,5.0,5.0,3.699387427277019,2.0,3.0,1.0,6.164469858923819,2.13507193638745,7.75,5.325480931107664,3.9,5.3167765401360425,3.7729848472563514,3.956407797447778,14
B0037,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,1.0,1.5714285714285714,4.0033623361765525,0.0,4.0,1.1239992816690676,5.0,7.565434019033308,35.0,8.0,1.0,3.0,9.05503011599019,3.0,5.0,1.1889646521307535,8.0,4.0,5.0,2.986244568302505,3.0,2.0,1.0,5.574790907605124,5.123999281669068,6.25,5.369260540596566,3.5999999999999996,5.604943054480328,6.36481080092957,4.639188774433341,14
B0038,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,1.0,0.42857142857142855,2.048816334757865,0.09069216841342595,2.0,0.042536334247859464,7.0,10.05552647819923,5.0,0.0,0.0,3.0,4.9708203079941,3.0,5.0,9.894290834626455,8.0,4.0,5.0,4.73865786116202,2.0,2.0,0.0,2.5227338475360064,2.0425363342478593,9.25,4.5397871077979355,3.5999999999999996,2.0679362223579174,4.8837444100856375,5.40201591459255,14
B0039,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,4.0,1.5714285714285714,2.269064158225399,0.008661794275176984,1.0,1.0618973317410891,6.0,6.021667309374935,5.0,1.3611654248427918,0.0,2.0,7.998869351922994,3.0,5.0,8.83554187989807,7.0,5.0,5.0,3.9892575514825235,1.0,2.0,1.0,3.844823626791559,2.061897331741089,7.75,5.549604273173048,3.95,4.446892072124239,3.5536454352641282,4.031807058833058,14
B0040,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,2.0,0.0,4.038055153835499,0.09341604572667168,4.0,1.1923685379052429,6.0,7.893680799771896,35.0,0.08368914869010134,0.0,5.0,2.842587148003477,2.0,5.0,8.946346067318075,10.0,4.0,5.0,2.9993483006700346,2.0,1.0,0.0,4.084763176698835,5.192368537905243,7.75,2.9949055018012167,3.1999999999999997,3.0115527085913185,6.525503336686231,6.200016006483363,14
B0041,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,1.0,0.42857142857142855,4.411240471887754,0.8843229471099272,2.0,0.05332339927347983,5.0,9.12331901924533,35.0,7.609636633891632,0.0,4.0,3.77026548194321,3.0,5.0,4.831184863905364,3.0,4.0,5.0,2.774393438368898,2.0,2.0,1.0,5.281973374014147,2.05332339927348,6.25,4.769592918680123,3.5999999999999996,5.445445815057216,4.581098889203553,4.413035392932548,14
B0042,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,1.0,0.42857142857142855,2.089388462514527,1.1842051941021015,1.0,4.0601322256026675,6.0,9.010309703064822,35.0,0.9987021407259494,0.0,4.0,8.145358352087982,3.0,5.0,4.098471310527706,7.0,4.0,5.0,5.174923855137718,3.0,3.0,1.0,3.1100624881370065,5.0601322256026675,7.75,5.600875423230794,3.8499999999999996,5.056787544060124,6.798535736890274,4.7151744212382996,14
B0043,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,2.0,2.142857142857143,1.72168135926664,0.09021360150792992,1.0,0.85395321276579,6.0,9.815629244181606,5.0,2.089512750848042,0.0,4.0,5.9468699344831375,5.0,5.0,7.797343601422669,5.0,4.0,5.0,3.0259923059969127,3.0,4.0,1.0,3.909645302877748,1.85395321276579,7.75,5.331404477069098,4.4,4.280167693461593,4.662341324301545,4.236122064589259,14
B0044,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,3.0,0.8571428571428571,1.119078515775858,0.0835763476183184,4.0,0.0,7.0,3.9933303276566354,5.0,3.7550610674891685,0.0,3.0,5.065998710631503,3.0,5.0,10.0,8.0,2.0,5.0,1.9228431567201465,3.0,2.0,0.0,2.0180095467278742,4.0,9.25,4.573099548721026,2.9000000000000004,1.3028835611462901,4.331110109218878,5.72512677240184,14
B0045,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,1.0,1.5714285714285714,0.5602485956913118,3.8554678159549094,1.0,1.9969485059648429,7.0,14.301981561050495,35.0,8.0,0.0,4.0,3.663166107632259,4.0,5.0,5.226062215899977,7.0,5.0,5.0,4.133169529321188,4.0,3.0,1.0,4.059411075097338,2.996948505964843,9.25,4.33210813767129,4.35,5.22817611368095,6.247711379473632,4.715251375146783,14
B0046,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,1.0,0.8571428571428571,0.7038674611510517,2.219789026540384,1.0,2.124628900556168,6.0,10.045760740079636,5.0,0.3699454234512154,0.0,4.0,6.936089616846767,3.0,5.0,7.002193722680707,5.0,4.0,5.0,3.836819759477562,3.0,3.0,0.0,2.670904831564101,3.124628900556168,7.75,5.677631365896369,3.8499999999999996,1.946836995632264,5.692058588777005,5.193015988517274,14
B0047,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,2.0,0.0,1.106407815407414,0.0,2.0,0.0,6.0,8.157172194553356,35.0,1.858184454028857,0.0,5.0,5.76631282066292,5.0,5.0,7.151308669996829,2.0,4.0,5.0,2.888296420082615,2.0,2.0,0.0,1.106407815407414,2.0,7.75,6.018209487232022,3.9,1.7980001879572662,4.219057398184452,4.73980145638719,14
B0048,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,3.0,0.42857142857142855,1.9781146658950017,2.0941480929524907,1.0,0.0,5.0,8.930545156728144,5.0,8.0,0.0,4.0,5.098076613188848,3.0,5.0,7.714475575834934,3.0,3.0,5.0,3.79103199892409,2.0,2.0,0.0,3.4537601409426757,1.0,6.25,5.234326814616097,3.25,2.2508215672729994,3.726848385576048,4.998708660190933,14
B0049,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,1.0,0.42857142857142855,2.806478743825958,1.9582537530259756,2.0,0.0,6.0,6.113328581929956,35.0,1.045909287108952,1.0,4.0,5.201657516700846,3.0,5.0,6.440178333805061,3.0,4.0,5.0,1.163673883097129,1.0,3.0,1.0,4.214177048910374,2.0,7.75,5.570580130845296,3.8499999999999996,4.696183373961353,3.537776193976652,3.9992241657502356,14
B0050,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,3.0,1.5714285714285714,5.966960302546723,1.0337370321958925,2.0,2.926127818255589,7.0,5.696860256708347,5.0,0.21310547540051517,0.0,3.0,5.295755957189625,4.0,5.0,3.897042708126856,8.0,4.0,5.0,1.0302026963324324,2.0,2.0,0.0,8.05525739007324,4.926127818255589,9.25,4.653514585016368,3.75,3.5392546064068937,5.5935492825944735,5.117519293541985,14
B0051,Assessment (Responses) - Form Responses 1 (1).csv,22.0,1.0,2.0,0.42857142857142855,2.865560709129864,2.038423208948782,2.0,0.031684782095799,5.0,4.874724343701724,35.0,7.976045600147766,0.0,4.0,7.872559717195971,3.0,5.0,5.978980379075093,3.0,4.0,5.0,5.0599245658427,1.0,3.0,1.0,4.313343742175683,2.031684782095799,6.25,6.20539590101859,3.8499999999999996,5.515100187816591,3.1486717011390906,3.5067741080250485,14
B0052,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,3.0,0.8571428571428571,3.9082383491908046,0.6353388718721532,1.0,2.1676787578008603,5.0,3.974261857709938,35.0,0.0,0.0,4.0,3.7714715248616995,4.0,5.0,6.6762501957826235,6.0,3.0,5.0,3.0273541390672083,1.0,2.0,0.0,5.083050642269739,3.1676787578008603,6.25,4.020015033701595,3.4,3.416468862499115,3.7005130209206243,5.005006529494899,14
B0053,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,4.0,1.5714285714285714,1.0930348740235125,1.0753196426912777,4.0,1.0743947015438127,7.0,2.68003349812705,35.0,0.19899636227533718,1.0,4.0,5.915186952797195,3.0,5.0,5.084828167472421,4.0,3.0,5.0,3.052142388010544,3.0,3.0,1.0,3.2021232667977224,5.074394701543813,9.25,5.870315433479019,3.5,4.6690555620989755,4.699140525533544,4.3464266108149365,14
B0054,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,2.0,0.8571428571428571,2.2639569410409535,0.2541493575088517,4.0,2.0593822527924366,6.0,7.791871767418409,5.0,0.0,0.0,3.0,1.0,2.0,5.0,9.807008847395933,4.0,4.0,5.0,2.007095481357857,3.0,2.0,0.0,3.2481744769382366,6.059382252792437,7.75,3.8500000000000005,3.4499999999999997,1.8117999981579773,7.141827278733797,6.297506820143955,14
B0055,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,2.0,0.8571428571428571,1.0623845791520214,3.0698020210180488,1.0,0.0,5.0,9.07849444309039,35.0,0.39810208093050453,0.0,4.0,1.0873740448730305,4.0,5.0,7.017732874953942,6.0,5.0,5.0,4.024620563803739,2.0,4.0,1.0,3.454428446803903,1.0,6.25,3.0805809157055606,4.6,4.964473269260087,3.7761648143634634,4.438748611564176,14
B0056,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,3.0,0.42857142857142855,4.81097024765491,0.0,4.0,0.011135810759350823,8.0,12.032547751273624,5.0,0.12341655778234811,0.0,4.0,7.715776260097084,3.0,5.0,4.9050565328418765,8.0,3.0,5.0,2.0097786953237184,2.0,1.0,0.0,5.239541676226339,4.011135810759351,9.25,5.50052169103398,3.0,2.6088835206663905,7.008351858069513,5.749710577040587,14
B0057,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,2.0,0.8571428571428571,5.070277048763106,1.0840501855075686,1.0,2.9937495942453416,6.0,17.202148917059677,35.0,0.0,0.0,2.0,5.644534487876266,3.0,5.0,2.8119978824999987,4.0,3.0,5.0,1.944692901527393,3.0,2.0,0.0,6.469444998659747,3.9937495942453416,7.75,5.475587070756693,3.25,3.754494357547155,6.995312195684006,5.3675283383072045,14
B0058,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,2.0,0.42857142857142855,2.189148053643316,0.1370073858823257,4.0,0.02713937350588909,5.0,11.84945702246588,5.0,0.24399686972133575,0.0,4.0,4.92980462377474,1.0,5.0,6.859686832218984,1.0,5.0,5.0,4.995762873477112,3.0,3.0,0.0,2.686223175155907,4.027139373505889,6.25,5.675431618321159,3.9,2.1847529558688965,6.970173537618043,5.433725659940939,14
B0059,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,2.0,0.0,0.9036133924402292,0.06626992732370485,1.0,0.0,5.0,6.014440385526362,35.0,0.0,0.0,4.0,8.147200511330107,3.0,5.0,7.039386562186484,3.0,5.0,5.0,3.0248634994202726,3.0,3.0,0.0,0.9367483561020816,1.0,6.25,6.3015201789655375,4.2,1.757449820102665,2.754813461842121,4.178884856745203,14
B0060,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,2.0,0.8571428571428571,3.978816296818303,0.0,6.0,2.1551473869462026,8.0,5.8315685849557495,5.0,0.9512721009810168,0.0,5.0,6.791822590740374,2.0,5.0,3.776456161201179,6.0,3.0,5.0,5.010046390676277,3.0,2.0,1.0,4.83595915396116,8.155147386946203,9.25,5.677137906759131,3.0999999999999996,5.047504050830831,7.9438561949852495,5.280946664010866,14
